Date,SPY,QQQ,IWM,EFA,EEM,XLK,XLF,XLE,XLV,XLU,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2015-01-02,169.68783569335938,94.5611572265625,102.54315185546875,43.09861373901367,30.198091506958008,18.06273651123047,16.217979431152344,25.36513328552246,56.80729293823242,16.40650749206543,92.65928649902344,82.31924438476562,80.1242904663086,48.57123947143555,114.08000183105469,15.41232681274414,52.09073257446289
2015-01-05,166.6233673095703,93.174072265625,101.17218017578125,42.081268310546875,29.660648345947266,17.78700828552246,15.876956939697266,24.315826416015625,56.51758575439453,16.205921173095703,94.11479187011719,82.82151794433594,80.45195770263672,48.12130355834961,115.80000305175781,15.192513465881348,52.37583541870117
2015-01-06,165.05392456054688,91.92475891113281,99.42192077636719,41.6046028137207,29.536022186279297,17.572542190551758,15.634316444396973,23.9586238861084,56.32722091674805,16.216297149658203,95.81050109863281,83.37789916992188,80.77958679199219,47.9370002746582,117.12000274658203,15.048789978027344,52.89533615112305
2015-01-07,167.11070251464844,93.10974884033203,100.64627075195312,42.067047119140625,30.174718856811523,17.721349716186523,15.79826545715332,24.009653091430664,57.6515998840332,16.375381469726562,95.62128448486328,83.36244201660156,80.88653564453125,48.235137939453125,116.43000030517578,14.955792427062988,53.7063102722168
2015-01-08,170.0760498046875,94.89186096191406,102.35343170166016,42.63618469238281,30.688796997070312,18.11087989807129,16.03435707092285,24.54865837097168,58.63657760620117,16.48950958251953,94.35496520996094,83.02243041992188,80.6257553100586,48.59831237792969,115.94000244140625,15.014970779418945,53.9090461730957
2015-01-09,168.71315002441406,94.2671890258789,101.37053680419922,42.42986297607422,30.587535858154297,18.05398178100586,15.817934036254883,24.354095458984375,58.1151237487793,16.38575553894043,95.38844299316406,83.4319839477539,80.83973693847656,48.842288970947266,117.26000213623047,14.989606857299805,53.934383392333984
2015-01-12,167.39151000976562,93.28431701660156,101.03424835205078,42.330265045166016,30.338287353515625,17.843900680541992,15.686779975891113,23.652441024780273,58.13994216918945,16.34771156311035,95.93424987792969,83.72563934326172,80.9935302734375,48.78265380859375,118.55999755859375,14.659887313842773,54.346187591552734
2015-01-13,166.92071533203125,93.25669860839844,101.11185455322266,42.54369354248047,30.603120803833008,17.830778121948242,15.634316444396973,23.464265823364258,57.88337326049805,16.392671585083008,95.93424987792969,83.80292510986328,81.06707763671875,48.78265380859375,118.16000366210938,14.6007080078125,54.26383972167969
2015-01-14,165.91299438476562,92.74232482910156,100.70661163330078,42.42275619506836,30.431760787963867,17.730106353759766,15.411346435546875,23.537630081176758,57.79230499267578,16.534465789794922,96.66201782226562,84.1893081665039,81.20750427246094,48.66878128051758,117.97000122070312,14.761338233947754,54.732643127441406
2015-01-15,164.39312744140625,91.5389404296875,99.008056640625,42.69309616088867,30.501861572265625,17.502513885498047,15.221160888671875,23.237815856933594,57.171504974365234,16.665884017944336,98.1830062866211,84.90792083740234,81.62873840332031,48.370628356933594,120.94000244140625,14.558436393737793,54.8593635559082
