Date,SPY,IWM,EZU,EWU,SHY,IEI,IEF,TLT,BWX,EEM,GLD
2007-10-11,110.15242004394531,64.53651428222656,34.95576095581055,25.062238693237305,59.669883728027344,71.23243713378906,52.65058898925781,49.77680206298828,19.903573989868164,34.95303726196289,73.91000366210938
2007-10-12,110.76171112060547,65.04873657226562,35.080257415771484,25.23240852355957,59.60346984863281,71.1343994140625,52.473697662353516,49.53377151489258,19.838586807250977,35.59123229980469,74.58999633789062
2007-10-15,109.82648468017578,64.29591369628906,34.77184295654297,24.996061325073242,59.60346984863281,71.07840728759766,52.52422332763672,49.54511260986328,19.788854598999023,35.15610885620117,75.13999938964844
2007-10-16,108.95497131347656,63.55870056152344,34.54832077026367,24.740802764892578,59.677188873291016,71.23955535888672,52.6695556640625,49.56201171875,19.796510696411133,34.5045166015625,75.12000274658203
2007-10-17,109.28803253173828,63.80702590942383,34.89068603515625,25.081144332885742,59.817317962646484,71.4775619506836,52.99177932739258,50.10467529296875,19.86534309387207,35.301143646240234,74.5
2007-10-18,108.89126586914062,63.651790618896484,34.9953727722168,25.156770706176758,59.898494720458984,71.80682373046875,53.19395446777344,50.38164138793945,20.018301010131836,35.479652404785156,76.0
2007-10-19,106.04304504394531,61.377994537353516,34.353084564208984,24.46664810180664,60.05332946777344,72.09390258789062,53.648921966552734,51.13343811035156,20.090932846069336,33.962284088134766,75.69999694824219
2007-10-22,106.65945434570312,62.67400360107422,34.19462966918945,24.409921646118164,60.00168991088867,72.09390258789062,53.54783630371094,51.139137268066406,20.010650634765625,34.207740783691406,74.5999984741211
2007-10-23,107.5238265991211,63.155147552490234,34.77751159667969,24.806983947753906,60.00912094116211,72.06591033935547,53.53518295288086,51.07128143310547,20.09477424621582,35.15610885620117,75.2300033569336
2007-10-24,107.3254623413086,62.751609802246094,34.653011322021484,24.693531036376953,60.12705993652344,72.33199310302734,53.806884765625,51.450016021728516,20.171253204345703,34.92625427246094,75.5199966430664
2007-10-25,107.58050537109375,62.59638214111328,34.98122787475586,24.920429229736328,60.0902214050293,72.34603881835938,53.762664794921875,51.2747802734375,20.22478675842285,35.37030792236328,76.02999877929688
2007-10-26,108.84164428710938,63.64407730102539,35.48771286010742,25.345855712890625,60.097633361816406,72.28301239013672,53.62992858886719,51.15603256225586,20.289785385131836,36.37222671508789,77.69000244140625
2007-10-29,109.20301055908203,63.57419967651367,35.58392333984375,25.563295364379883,60.097633361816406,72.26899719238281,53.674198150634766,51.35389709472656,20.3356876373291,37.20901870727539,78.12000274658203
2007-10-30,108.44490051269531,63.06978225708008,35.507511138916016,25.364770889282227,60.0902214050293,72.28301239013672,53.73103713989258,51.32563018798828,20.305091857910156,36.506103515625,77.3499984741211
2007-10-31,109.57142639160156,63.884620666503906,35.90364074707031,25.733461380004883,59.994346618652344,72.03092956542969,53.37089157104492,50.86210250854492,20.324220657348633,37.307193756103516,78.62000274658203
2007-11-01,107.00666046142578,61.41679000854492,35.02650451660156,25.128416061401367,60.18901062011719,72.42583465576172,53.8065185546875,51.52301025390625,20.30736541748047,35.800987243652344,77.93000030517578
2007-11-02,107.12709045410156,61.71942138671875,35.46790313720703,25.364770889282227,60.26308822631836,72.51725769042969,53.95237350463867,51.687652587890625,20.464309692382812,36.00403594970703,79.83000183105469
2007-11-05,106.31232452392578,60.90457534790039,35.091583251953125,24.73135757446289,60.25564193725586,72.54533386230469,53.88896179199219,51.66494369506836,20.414554595947266,34.752201080322266,79.75
2007-11-06,107.7435302734375,62.05315017700195,35.5754280090332,24.97715187072754,60.218605041503906,72.48204803466797,53.7938232421875,51.415096282958984,20.48345947265625,36.07097625732422,81.43000030517578
2007-11-07,104.79608154296875,60.12853240966797,35.10008239746094,24.324838638305664,60.38892364501953,72.7421646118164,53.99039077758789,51.505985260009766,20.671030044555664,34.92179870605469,82.23999786376953
2007-11-08,104.2646713256836,60.307003021240234,35.241546630859375,24.721899032592773,60.48517990112305,72.96703338623047,54.11083984375,51.415096282958984,20.755239486694336,35.100311279296875,82.2300033569336
2007-11-09,102.83345794677734,59.6396369934082,34.55964279174805,24.11684799194336,60.50734329223633,73.20604705810547,54.43422317504883,51.85226058959961,20.824140548706055,34.27468490600586,82.18000030517578
2007-11-12,101.8132553100586,59.06535339355469,34.129547119140625,23.615793228149414,60.64802932739258,73.29735565185547,54.529327392578125,52.03966522216797,20.843280792236328,32.377986907958984,78.30000305175781
2007-11-13,104.91649627685547,60.92013168334961,34.89068603515625,24.495004653930664,60.46291732788086,72.86160278320312,54.2503547668457,51.84661102294922,20.682510375976562,34.66518020629883,79.12000274658203
2007-11-14,104.62605285644531,60.57090759277344,34.712425231933594,24.201936721801758,60.492523193359375,73.02327728271484,54.28835678100586,51.90340805053711,20.747591018676758,34.69866180419922,80.27999877929688
2007-11-15,103.11683654785156,59.70945358276367,34.18897247314453,23.691425323486328,60.6923713684082,73.3044204711914,54.592742919921875,52.391658782958984,20.72844886779785,33.89979934692383,77.94999694824219
2007-11-16,103.2939682006836,59.20503234863281,34.48606491088867,23.823780059814453,60.6923713684082,73.3044204711914,54.592742919921875,52.46542739868164,20.732257843017578,34.31930923461914,77.75
2007-11-19,101.855712890625,57.9245491027832,33.70229721069336,22.963481903076172,60.89225769042969,73.78231811523438,54.985843658447266,52.80612564086914,20.816476821899414,32.737213134765625,77.23999786376953
2007-11-20,102.4792251586914,58.25826644897461,34.29082489013672,23.540163040161133,60.87000274658203,73.79641723632812,54.84001159667969,52.74925231933594,20.900707244873047,33.63649368286133,79.47000122070312
2007-11-21,100.38201904296875,57.039859771728516,33.71644973754883,23.020198822021484,61.06252670288086,74.25321960449219,55.271156311035156,53.05588150024414,21.011707305908203,31.942848205566406,79.36000061035156
2007-11-23,102.11788177490234,58.250484466552734,34.37289047241211,23.6441593170166,60.995872497558594,73.9931411743164,55.106346130371094,53.214839935302734,20.98875617980957,32.88673400878906,81.25
2007-11-26,99.86478424072266,56.72941589355469,33.7136116027832,23.1147403717041,61.16612243652344,74.61164093017578,55.86088562011719,54.26521301269531,21.099754333496094,31.58135414123535,81.30000305175781
2007-11-27,101.01258850097656,57.38908004760742,34.12388610839844,23.455076217651367,60.98109436035156,74.21107482910156,55.340965270996094,53.74856185913086,20.97726821899414,32.79079055786133,80.0999984741211
2007-11-28,104.24342346191406,59.6551628112793,35.18778991699219,24.305927276611328,60.929283142089844,74.0353012084961,55.14439392089844,53.385223388671875,20.808822631835938,34.58708953857422,79.56999969482422
2007-11-29,104.2788314819336,59.142967224121094,34.85390090942383,24.022308349609375,61.04032897949219,74.30237579345703,55.45508575439453,53.84505844116211,20.831802368164062,34.163108825683594,78.27999877929688
2007-11-30,105.32746124267578,59.484397888183594,34.907676696777344,24.220842361450195,61.06990432739258,74.4289321899414,55.53114700317383,53.58388137817383,20.674854278564453,34.45320129394531,77.31999969482422
2007-12-03,104.63309478759766,58.785953521728516,34.811466217041016,24.079036712646484,61.20805740356445,74.74053192138672,55.75064468383789,54.00912094116211,20.76763153076172,34.15419006347656,78.27999877929688
2007-12-04,103.69786071777344,58.16514205932617,34.71525955200195,23.871049880981445,61.20056915283203,74.71232604980469,55.80154800415039,54.003421783447266,20.863479614257812,34.0649299621582,79.4000015258789
2007-12-05,105.43375396728516,59.32143783569336,34.96708297729492,24.334291458129883,61.22291946411133,74.61360931396484,55.59157180786133,53.35934829711914,20.652624130249023,35.57783889770508,78.62999725341797
2007-12-06,106.94285583496094,60.726097106933594,35.34056854248047,24.391014099121094,61.0966796875,74.31047058105469,55.29897689819336,52.891876220703125,20.61810874938965,36.13792419433594,79.37000274658203
2007-12-07,106.92158508300781,60.9123649597168,35.34907150268555,24.55173110961914,61.02980041503906,74.12012481689453,54.94266891479492,52.29908752441406,20.54526710510254,35.709503173828125,78.5999984741211
2007-12-10,107.7505111694336,61.39351272583008,35.781978607177734,24.816436767578125,60.98524856567383,73.9014663696289,54.81539535522461,51.98557662963867,20.556772232055664,35.72063064575195,80.0
